week,start_date,end_date,perlis,kedah,p_pinang,perak,selangor,wpkl_putrajaya,n_sembilan,melaka,johor,pahang,terengganu,kelantan,sarawak,sabah,wp_labuan
1,29/12/2019,4/1/2020,5,18,43,91,"1,729",199,42,57,203,78,3,152,69,149,0
2,5/1/2020,11/1/2020,2,21,31,105,"1,979",261,43,39,249,77,3,165,90,173,1
3,12/1/2020,18/1/2020,2,24,28,94,2026,303,51,55,252,79,12,183,88,190,0
4,19/1/2020,25/1/2020,1,25,35,89,"1,957",229,47,47,228,79,5,130,66,189,1
5,26/1/2020,1/2/2020,1,15,14,86,"1,724",230,36,44,208,61,14,108,70,159,0
6,2/2/2020,8/2/2020,1,15,31,93,"1,923",229,42,49,295,86,11,104,79,152,1
7,9/2/2020,15/2/2020,0,35,23,74,"1,680",200,52,59,199,66,11,80,75,163,0
8,16/2/2020,22/2/2020,1,16,14,89,"1,617",179,53,55,189,55,15,105,52,164,0
9,23/2/2020,29/2/2020,1,36,19,84,1577,175,58,47,191,60,8,82,48,155,0
10,1/3/2020,7/3/2020,0,43,15,83,"1,537",185,76,42,205,63,5,74,51,144,0
11,8/3/2020,14/3/2020,3,18,23,73,"1,389",175,61,42,164,55,4,48,53,111,0
12,15/3/2020,21/3/2020,0,29,15,52,"1,132",165,54,37,152,50,3,50,46,88,1
13,22/3/2020,28/3/2020,0,14,11,42,724,131,53,33,136,30,4,30,23,56,0
14,29/3/2020,4/4/2020,1,9,4,42,629,116,49,33,153,27,4,33,22,48,0
15,5/4/2020,11/4/2020,0,12,6,46,557,117,51,37,132,47,1,42,30,43,0
16,12/4/2020,18/4/2020,0,9,4,62,596,151,54,29,123,37,4,33,20,50,0
17,19/4/2020,25/4/2020,0,8,6,76,626,198,58,38,163,28,6,30,23,41,0
18,26/4/2020,2/5/2020,1,9,6,70,710,224,59,25,155,39,6,34,17,40,0
19,3/5/2020,9/5/2020,0,4,2,82,632,237,57,39,185,48,5,43,24,57,0
20,10/5/2020,16/5/2020,5,11,6,71,644,275,78,56,186,50,4,36,20,51,1
21,17/5/2020,23/5/2020,1,15,13,105,798,334,64,66,201,42,13,59,27,44,0
22,24/5/2020,30/5/2020,1,18,20,88,757,304,78,47,142,42,17,30,23,58,0
23,31/5/2020,6/6/2020,1,15,18,100,769,383,65,68,260,43,18,49,21,61,0
24,7/6/2020,13/6/2020,0,13,23,89,830,336,77,59,246,80,24,65,28,57,0
25,14/6/2020,20/6/2020,2,35,31,37,722,397,58,67,189,76,11,58,28,49,0
26,21/6/2020,27/6/2020,4,26,40,56,867,369,82,85,301,80,11,106,20,73,0
27,28/6/2020,4/7/2020,11,25,48,50,876,340,76,65,298,73,9,158,23,64,0
28,5/7/2020,11/7/2020,2,29,33,49,895,310,77,69,311,111,3,139,26,84,0
29,12/7/2020,18/7/2020,2,16,36,44,772,258,88,79,333,100,9,222,17,96,0
30,19/7/2020,25/7/2020,4,22,34,46,833,223,82,74,322,105,6,180,21,90,0
31,26/7/2020,1/8/2020,1,15,18,36,655,379,88,61,355,90,14,208,17,99,0
32,2/8/2020,8/8/2020,1,7,13,33,646,191,77,56,340,93,14,213,15,104,0
33,9/8/2020,15/8/2020,2,24,24,40,665,188,99,67,370,87,15,204,18,95,1
34,16/8/2020,22/8/2020,3,12,15,25,653,209,76,52,390,75,10,100,20,78,0
35,23/8/2020,29/8/2020,3,11,14,29,658,211,105,44,326,73,11,86,22,65,0
36,30/8/2020,5/9/2020,0,18,6,43,552,242,53,48,303,118,6,95,19,107,0
37,6/9/2020,12/9/2020,1,7,21,24,558,200,47,91,283,91,7,73,21,67,0
38,13/9/2020,19/9/2020,2,8,26,21,524,150,60,90,279,61,5,56,23,55,1
39,20/9/2020,26/9/2020,2,5,13,27,553,150,40,91,261,64,7,36,14,29,0
40,27/9/2020,3/10/2020,9,5,22,22,494,157,37,75,238,68,3,25,14,38,0
41,4/10/2020,10/10/2020,0,15,13,20,439,145,40,60,237,63,4,26,6,39,0
42,11/10/2020,17/10/2020,3,9,24,21,481,156,50,74,229,59,7,16,13,38,0
43,18/10/2020,24/10/2020,0,6,23,18,460,165,33,64,208,75,2,21,15,33,0
44,25/10/2020,31/10/2020,0,8,9,13,440,137,39,70,193,60,11,17,13,30,0
45,1/11/2020,7/11/2020,1,3,22,13,440,148,24,77,156,52,9,12,11,31,0
46,8/11/2020,14/11/2020,0,9,12,13,392,129,32,64,161,64,3,12,7,38,0
47,15/11/2020,21/11/2020,0,2,15,17,407,108,32,43,152,53,5,13,8,39,0
48,22/11/2020,28/11/2020,0,1,17,7,377,104,30,29,161,40,1,9,10,38,0
49,29/11/2020,5/12/2020,0,5,18,21,420,106,26,45,136,24,1,10,13,47,1
50,6/12/2020,12/12/2020,0,4,13,17,366,83,21,28,149,32,11,14,13,44,0
51,13/12/2020,19/12/2020,0,8,18,10,360,85,21,22,122,34,3,25,10,53,0
52,20/12/2020,26/12/2020,0,6,15,13,363,84,21,25,135,33,7,19,11,48,0
53,27/12/2020,2/1/2021,0,6,17,18,378,73,22,24,79,22,1,5,15,35,0
54,3/1/2021,9/1/2021,1,3,20,21,369,77,21,28,87,33,1,7,15,34,0
55,10/1/2021,16/1/2021,0,9,14,15,388,69,24,21,72,11,2,4,15,37,0
56,17/1/2021,23/1/2021,0,10,16,19,416,81,25,29,70,20,1,9,7,35,0
57,24/1/2021,30/1/2021,1,4,13,8,346,71,16,24,52,16,0,8,3,24,0
58,31/1/2021,6/2/2021,0,8,6,17,324,61,20,29,68,18,3,4,8,41,0
59,7/2/2021,13/2/2021,0,3,6,18,301,63,14,23,54,10,1,12,16,27,0
60,14/2/2021,20/2/2021,0,7,8,8,309,74,17,22,64,7,2,5,12,42,0
61,21/2/2021,27/2/2021,0,6,7,11,356,65,10,21,55,6,2,7,5,32,1
